000.1;KETATAUSAHAAN DAN KERUMAHTANGGAAN
000.8.4;Standar Kompetensi jabatan struktural dan fungsional
000.8.5;Evaluasi Kelembagaan
000.8.6;Koordinasi Penguatan Reformasi dan Birokrasi
000.8.6.1;Budaya Kerja
000.8.6.2;Penilaian Mandiri Reformasi Birokrasi
000.8.6.3;Akuntabilitas Kinerja Instansi Pemerintah
000.9;PENELITIAN, PENGKAJIAN, DAN PENGEMBANGAN 
000.9.1;Kebijakan di bidang penelitian, pengkajian, pengembangan  yang dilakukan oleh pemerintah daerah
000.9.2;Penelitian, Pengkajian dan Pengembangan meliputi: rencana kerja, administrasi penelitian, pelaksanaan, hasil penelitian/pengkajian/rekomendasi
000.9.3;Sosialisasi dan desiminasi hasil penelitian, hasil pengkajian dan pengembangan
000.9.4;Bimbingan teknis penelitian, pengkajian dan pengembangan
000.9.5;Forum komunikasi penelitian,  pengembangan dan penerapan ilmu pengetahuan dan teknologi
000.9.6;Data dan informasi hasil penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi
000.9.7;Master proceeding/ jurnal penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi
000.9.8;Hak atas kekayaan intelektual (HaKI)
000.9.9;Evaluasi Pelaksanaan Kebijakan
000.9.10;Seminar, lokakarya, temukarya, workshop
100;PEMERINTAHAN
100.1;OTONOMI DAERAH
100.1.1;Kebijakan di bidang Otonomi Daerah yang dilakukan oleh Pemerintah Daerah
100.1.2;Penyelenggaraan Pemerintah Daerah (Fasilitasi, Bimbingan , Pengawasan, Monitoring dan Evaluasi)
100.1.3;Penataan Daerah, Pembinaan Daerah Pemekaran, Otonomi Khusus, Daerah Istimewa dan Dewan Pertimbangan Otonomi Daerah (Fasilitasi, Monitoring, dan Evaluasi)
100.1.4;Pemilihan  Kepala Daerah, DPRD, dan Hubungan Antar Lembaga (Fasilitasi, Monitoring, dan Evaluasi)
100.1.4.1;Penyelenggaraan Pemilihan Umum Kepala Daerah
100.1.4.2;Administrasi Kepala Daerah dan DPRD
100.1.4.3;Penyiapan Perumusan Kebijakan Pemberdayaan Kapasitas Kepala Daerah dan DPRD di Bidang Pemerintahan
100.1.4.4;Hubungan Antar Lembaga Daerah (Pemerintah Daerah dan DPRD)
100.1.4.5;Assosiasi Daerah
100.1.5;Otonomi khusus dan daerah istimewa
100.1.6;Peningkatan Kapasitas Dan Evaluasi Kinerja Daerah (Fasilitasi, Monitoring, dan Evaluasi )
100.1.6.1;Kinerja Penyelenggaraan Pemerintahan Daerah
100.1.6.2;Kemampuan Penyelenggaraan Otonomi Daerah
100.1.6.3;Pengembangan Kapasitas Daerah
100.1.7; LKPJ/ LKPJAMJ dan LPPD (Fasilitasi, Monitoring dan Evaluasi)
100.2;PEMERINTAHAN UMUM
100.2.1;Kebijakan di bidang Pemerintahan Umum yang dilakukan oleh Pemerintah Daerah
100.2.2;Dekonsentrasi dan Kerjasama
100.2.1;Fasilitasi, Koordinasi, Pembinaan dan Pengawasan, serta Monitoring dan Evaluasi Dekonsentrasi dan Tugas Pembantuan
100.2.2;Fasilitasi, Koordinasi, Pembinaan dan Pengawasan, serta Monitoring dan  Evaluasi Tugas Gubernur Sebagai Wakil Pemerintah
100.2.3;Fasilitasi, Koordinasi, Pembinaan dan Pengawasan, serta Monitoring dan Evaluasi Kerjasama Daerah
100.2.4;Fasilitasi Kecamatan
100.2.5;Fasilitasi Pelayanan Umum
100.2.3;Wilayah Administrasi dan Perbatasan
100.2.3.1;Toponimi dan Data Wilayah
100.2.3.2;Pengembangan dan Penataan Batas Antar Negara
100.2.3.3;Batas Antar Daerah Wilayah
100.2.3.4;Penataan Batas Wilayah Antar Kecamatan, Batas Wilayah Antar Kelurahan  Satu Kecamatan Dan Batas Wilayah Kelurahan Antar Kecamatan
100.2.3.5;Pemeliharaan Batas Wilayah
100.3;HUKUM
100.3.1;Program Legislasi
100.3.1.1;Bahan/Materi Program Legislasi Daerah
100.3.1.2;Program Legislasi
100.3.2;Rancangan Peraturan Perundang-Undangan Rancangan Peraturan Daerah, termasuk naskah akademik, rancangan awal sampai dengan rancangan akhir dan telaah hukum sampai diundangkan
100.3.3;Keputusan/Ketetapan Pimpinan Pemerintah  
100.3.3.1;Keputusan / Ketetapan Gubernur
100.3.3.2;Keputusan / Ketetapan Bupati
100.3.3.3;Keputusan / Ketetapan Walikota
100.3.3.4;Keputusan Sekretaris Daerah Provinsi
100.3.3.5;Keputusan Sekretaris Daerah Kabupaten
100.3.3.6;Keputusan Sekretaris Daerah Kota
100.3.4;Instruksi / Surat Edaran 
100.3.4.1;Instruksi / Surat Edaran Provinsi
100.3.4.2;Instruksi / Surat Edaran Kabupaten
100.3.4.3;Instruksi / Surat Edaran Kota
100.3.4.4;Instruksi / Surat Edaran Setingkat Eselon II
100.3.5;Surat Perintah
100.3.5.1;Surat Perintah Gubernur
100.3.5.2;Surat Perintah Bupati
100.3.5.3;Surat Perintah Walikota
100.3.5.4;Surat Perintah Setingkat Eselon II
100.3.6;Standar/ Pedoman/ Prosedur Kerja/ Petunjuk Pelaksanaan/ Petunjuk Teknis 
100.3.7.1;Dalam Negeri
100.3.7.2;Luar Negeri
"100.3.8;Dokumentasi  Hukum, (antara lain: Undang-Undang, Peraturan Pemerintah, Keputusan Presiden dan Peraturan-Peraturan yang dijadikan referensi)
"
100.3.9;Sosialisasi/Penyuluhan/Pembinaan Hukum
100.3.10;Bantuan/ Konsultasi Hukum/ Advokasi Pemberian bantuan/ konsultasi hukum (Pidana, Perdata, Tata Usaha Negara dan Agama)
100.3.11;Kasus/ Sengketa Hukum
100.3.11.1;Pidana Kasus/ sengketa pidana, baik kejahatan maupun pelanggaran
100.3.11.2;Perdata Kasus/sengketa perdata
100.3.11.3;Tata Usaha Negara
100.3.11.4;Perburuhan
100.3.11.5;Arbitrase
100.3.11.6;Sengketa Adat
100.3.12;Perijinan
100.3.13;Hak atas Kekayaan Intelektual (HAKI)
100.3.13.1;Hak Cipta
100.3.13.2;Hak Paten
100.3.13.3;Hak Desain Industri
100.3.13.4;Hak Rahasia Dagang
100.3.13.5;Hak Merk
"100.3.14;Permohonan HAKI yang ditolak 
"
200;POLITIK
200.1;KESATUAN BANGSA DAN POLITIK 
200.1.1;Kebijakan di bidang Kesatuan Bangsa dan Politik yang dilakukan oleh Pemerintah Daerah
200.1.2;Bina Ideologi dan Wawasan Kebangsaan
200.1.2.1;Ketahanan Ideologi Negara
200.1.2.2;Wawasan Kebangsaan
200.1.2.3;Bela Negara
200.1.2.4;Nilai Nilai Sejarah Kebangsaan
200.1.2.5;Pembauran dan Kewarganegaraan
200.1.3;Kewaspadaan Nasional
200.1.3.1;Fasilitasi dan Evaluasi Kewaspadaan Dini dan Kerjasama Intelijen Keamanan
200.1.3.2;Fasilitasi Bina Masyarakat Perbatasan Antar Negara dan Kehidupan Masyarakat Perbatasan
200.1.3.3;Fasilitasi dan Evaluasi Penanganan Konflik Pemerintahan
200.1.3.4;Fasilitasi dan Laporan Penanganan Konflik Sosial
200.1.3.5;Fasilitasi Pengawasan Orang Asing dan Lembaga Asing
200.1.4;Ketahanan Seni, Budaya, Adat, Agama, dan Kemasyarakatan
200.1.4.1;Ketahanan Seni
200.1.4.2;Ketahanan Budaya
200.1.4.3;Agama dan Kepercayaan
200.1.4.4;Organisasi Kemasyarakatan 
200.1.4.5;Masalah Sosial Kemasyarakatan
200.1.4.6;Fasilitasi
200.1.4.7;Pelaksanaan Identifikasi dan Kompilasi Organisasi Masyarakat
200.1.4.8;Laporan Hasil Kerjasama Kegiatan Dengan Ormas/LNL
200.1.4.9;Evaluasi Aktifitas Ormas : Sanksi Administrasi
200.1.4.10;Fasilitasi Sengketa Ormas
200.1.4.11;Fasilitasi Ormas
200.1.5;Politik Dalam Negeri
200.1.5.1;Implementasi Kebijakan Politik
200.1.5.2;Fasilitasi Kelembagaan Politik Pemerintahan
200.1.5.3;Fasilitasi Kelembagaan Partai Politik
200.1.5.4;Verifikasi dan Evaluasi Partai Politik Yang Memperoleh Kursi
200.1.5.5;Partai Politik Yang Tidak Memperoleh Kursi
200.1.5.6;Pemerintah Daerah
200.1.5.7;Database Parpol
200.1.5.8;Pendidikan Budaya Politik
200.1.5.9;Pemilihan Umum
200.1.6;Ketahanan Ekonomi
200.1.6.1;Ketahanan Sumberdaya Alam dan Kesenjangan Perekonomian
200.1.6.2;Ketahanan Perdagangan Investasi, Fiskal dan Moneter
200.1.6.3;Perilaku Perekonomian Masyarakat
200.1.6.4;Ketahanan Lembaga Sosial Ekonomi
200.2;PEMILU
200.2.1;Kebijakan di bidang  Pemilu yang dilakukan oleh Pemerintah Daerah
200.2.2;Pemutakhiran dan Penyusunan Daftar Pemilih 
200.2.2.1;Daftar Penduduk Potensial Pemilih (DP4) Pemilu 
200.2.2.2;Daftar Pemilih Sementara (DPS)
200.2.2.3;Daftar Pemilih Tambahan
200.2.2.4;Keputusan KPU tentang Daftar Pemilih Tetap (DPT)
200.2.2.5;Rekapitulasi Daftar Pemilih Tetap (DPT) 
200.2.3;Pendaftaran dan Verifikasi Peserta Pemilu 
200.2.3.1;Dokumen pendaftaran peserta Pemilu dari partai politik
200.2.3.2;Dokumen hasil verifikasi administrasi dan faktual partai politik
200.2.3.3;Dokumen pendaftaran peserta Pemilu dari Calon Perseorangan 
200.2.3.4;Dokumen hasil verifikasi administrasi dan faKtual
200.2.4;Penetapan Peserta Pemilu 
200.2.4.1;Penetapan Daerah Pemilihan dan Jumlah Kursi Anggota 
200.2.4.2;Keputusan KPU tentang penetapan daerah pemilihan dan jumlah kursi Anggota DPR
200.2.4.3;Keputusan KPU tentang penetapan daerah pemilihan dan jumlah kursi Anggota DPR
200.2.4.4;Keputusan KPU tentang penetapan daerah pemilihan dan jumlah kursi Anggota DPRD Kabupaten/Kota
270.04.05;Peta Daerah Pemilihan
200.2.5;Pencalonan Pemilu 
200.2.5.1;Petunjuk teknis pencalonan 
200.2.5.2;Surat pencalonan pendaftaran 
200.2.5.3;Daftar bakal calon 
200.2.5.4;Dokumen persyaratan masing-masing bakal  calon
200.2.5.5;Dokumen verifikasi administrasi 
200.2.5.6;Daftar Calon Sementara dan Calon Tetap 
200.2.6;Kampanye Pemilu 
200.2.6.1;Keputusan KPU tentang penetapan jadwal kampanye
200.2.6.2;Nama juru kampanye/pelaksana kampanye
200.2.6.3;Peringatan tertulis/penghentian kegiatan kampanye
200.2.7;Dana Kampanye 
200.2.7.1;Pedoman audit dana kampanye
200.2.7.2;Laporan dana kampanye peserta Pemilu 
200.2.7.3;Laporan hasil audit dana kampanye
200.2.8;Pemungutan dan Penghitungan Suara 
200.2.8.1;Keputusan KPU tentang desain dan spesifikasi surat suara
200.2.8.2;Master surat suara
200.2.8.3;Surat suara yang terpakai
200.2.8.4;Surat Suara Tidak terpakai (rusak, salah, dan tidak digunakan)
200.2.8.5;Formulir pemilu di Pemerintah Daerah 
200.2.9;Penetapan Hasil Pemilu 
200.2.10;Perselisihan Hasil Pemilu 
200.2.10.1;Surat-surat mengenai Perselisihan Hasil Pemilu
200.2.10.2;Jawaban dan kesimpulan termohon
200.2.10.3;Salinan Putusan lembaga peradilan
200.2.11;Laporan hasil penyelenggaraan Pemilu
300;KEAMANAN DAN KETERTIBAN
300.1;SATUAN POLISI PAMONG PRAJA
300.1.1;Kebijakan di bidang Polisi Pamong Praja yang dilakukan di Pemerintah Daerah
300.1.2.1;Tata Operasiona Polisi Pamong Praja
300.1.2.2;Sarana Prasarana Polisi Pamong Praja
300.1.3;Peningkatan Kapasitas SDM Polisi Pamong Praja
300.1.4;Perlindungan Masyarakat
300.1.5;Penyidik Pegawai Negeri Sipil
300.1.6;Perlindungan Hak-Hak Sipil dan Hak Asasi Manusia
300.2;PENANGGULANGAN BENCANA, PENCARIAN, DAN PERTOLONGAN
300.2.1;Kebijakan di bidang Penanggulangan Bencana yang dilakukan oleh Pemerintah Daerah
300.2.2;Perencanaan Penanggulangan Bencana, Pencarian, dan Pertolongan
300.2.2.1;Rencana dan standardisasi dan  pengawakan dan perbekalan
300.2.2.2;Kurikulum dan silabus, evaluasi dan monitoring
300.2.2.3;Tenaga pencarian pertolongan, penyiapan potensi pencarian dan pertolongan
300.2.2.4;Permasyarakatan pencarian dan pertolongan, sertifikasi pencarian dan pertolongan
300.2.2.5;Perencanaan dan standardisasi, penyelenggaraan operasi SAR, Siaga dan latihan, tempat latihan
300.2.2.6;Registrasi BEACON
300.2.3;Pencegahan dan Kesiapsiagaan
300.2.4;Potensi Pencarian dan Pertolongan
300.2.5;Bina Ketenagaan dan Pemasyarakatan
300.2.5.1;Rencana Pendidikan dan Pelatihan
300.2.5.2;Penyiapan tenaga dan potensi Pencarian dan Pertolongan
300.2.5.3;Pemasyarakatan dan Sertifikasi Pencarian dan Pertolongan
300.2.5.4;Pemasyarakatan Pencarian dan Pertolongan (Sosialisasi dan Penyuluhan)
300.2.5.5;Sertifikasi Pencarian dan Pertolongan
300.2.6;Operasi Pencarian dan Pertolongan
300.2.7;Rencana Pengembangan dan Standardisasi  Komunikasi
300.2.8;Operasi Komunikasi
300.2.8.1;Operasi Peralatan Komunikasi (Berita SAR)
300.2.8.2;Operasi Peralatan Deteksi Dini (Berita SAR)
300.2.8.3;Registrasi BEACON
